section_title,section_type,classification_label,code,descriptor,period,duration,variable1_label,variable1_code,variable1_descriptor,variable2_label,variable2_code,variable2_descriptor,value_type_description,value,value_label,decimals,confidentiality_indicator,confidentiality_label,final_indicator,final_label,last_updated_at_source
Births and deaths,,Ethnic group,37144,Tuvaluan,2003,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2004,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2005,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2006,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2007,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2008,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2009,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2010,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2011,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2012,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2013,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
Births and deaths,,Ethnic group,37144,Tuvaluan,2014,Year ended March,Births and deaths,BTH,Live births,,,,Count,,,0,..,not available,,,2026-05-26 11:30:50+00
